# test log
getenv GOTMPDIR
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsListAndShowRoles4047236888\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat C:\Users\tiger\AppData\Local\woolf\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
stat C:\Users\tiger\AppData\Local\woolf\agents
open C:\Users\tiger\AppData\Local\woolf\agents
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsListAndShowRoles4047236888\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat C:\Users\tiger\AppData\Local\woolf\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
stat C:\Users\tiger\AppData\Local\woolf\agents
open C:\Users\tiger\AppData\Local\woolf\agents
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
getenv GOTMPDIR
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\config.toml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\custom.yaml
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents\custom.yaml
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents\custom.yaml
open D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\config.toml
getenv OPENROUTER_API_KEY
getenv WOOLF_SESSIONS_DIR
getenv USERPROFILE
getenv APPDATA
getenv LOCALAPPDATA
getenv USERPROFILE
getenv APPDATA
stat C:\Users\tiger\AppData\Local\woolf
stat C:\Users\tiger\AppData\Local\woolf\sessions
stat D:\AgentCoding\WoolfCLI\.gotmp\TestAgentsAddAndDeleteCustomRole2358013511\001\agents
stat C:\Users\tiger\AppData\Local\woolf\cache
stat C:\Users\tiger\AppData\Local\woolf\logs
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
open D:\AgentCoding\WoolfCLI\.gotmp
